bin,n_faults,failures_median,failures_min,failures_max,held_out_faults,recall_random,recall_recency,recall_failure_rate,recall_coverage,recall_structural_rule,recall_bm25_lexical,recall_xgboost_struct,recall_xgboost_struct_lex,recall_xgboost_static,recall_xgboost_static_nocov,recall_xgboost_static_nocov_lex,recall_semif_textonly,recall_semif_full,recall_semif_after_doc,frac_in_coverage,frac_in_structural_funnel,median_funnel_size,median_killer_rank_in_funnel,median_normalized_killer_rank_bm25
1,232,2.0000,1.0000,2.0000,24,0.0417,0.0000,0.0000,0.0000,0.2083,0.1667,0.0833,0.0833,0.1667,0.0000,0.0417,0.2917,0.1250,0.3333,1.0000,0.4167,5.5000,1.0000,0.4388
2,231,3.0000,2.0000,4.0000,50,0.1000,0.1400,0.2200,0.0800,0.3000,0.3800,0.3200,0.4800,0.3600,0.1600,0.3400,0.4800,0.2400,0.4800,1.0000,0.4200,6.5000,1.0000,0.2457
3,231,4.0000,4.0000,5.0000,60,0.1167,0.2167,0.3667,0.0667,0.2167,0.4333,0.5333,0.6333,0.5833,0.2667,0.5000,0.4333,0.2333,0.5000,1.0000,0.4500,4.5000,1.0000,0.2500
4,231,6.0000,5.0000,7.0000,34,0.0294,0.1765,0.2647,0.0882,0.2941,0.2353,0.6765,0.6765,0.7647,0.3824,0.5588,0.2647,0.0588,0.2857,1.0000,0.3824,12.0000,1.0000,0.2327
5,231,8.0000,7.0000,9.0000,52,0.0962,0.2500,0.4615,0.1923,0.2115,0.3654,0.5192,0.7115,0.5385,0.5000,0.5577,0.2308,0.1154,,1.0000,0.3846,4.0000,1.0000,0.2857
6,231,12.0000,9.0000,13.0000,36,0.0556,0.4444,0.5833,0.1389,0.4167,0.2222,0.6389,0.6389,0.6667,0.6389,0.7778,0.3333,0.1944,,1.0000,0.3333,1.0000,1.0000,0.3538
7,231,15.0000,13.0000,18.0000,55,0.0545,0.4000,0.5273,0.0727,0.2727,0.2545,0.7091,0.8000,0.8000,0.7091,0.6909,0.2909,0.0727,,1.0000,0.5636,11.0000,0.5373,0.3359
8,231,22.0000,18.0000,28.0000,50,0.1400,0.5600,0.8200,0.0800,0.3600,0.2200,0.8200,0.8800,0.8600,0.8200,0.9200,0.3000,0.1200,,1.0000,0.4800,9.0000,1.0000,0.6510
9,231,34.0000,28.0000,40.0000,47,0.0000,0.5532,0.9149,0.0000,0.4255,0.2340,0.8085,0.8298,0.9574,0.9574,0.8723,0.2766,0.0851,,1.0000,0.6383,35.0000,0.2143,0.3258
10,231,51.0000,40.0000,68.0000,56,0.0536,0.8393,0.9643,0.0000,0.2143,0.0893,0.9286,0.9464,0.9643,0.9464,0.9821,0.1429,0.0000,,1.0000,0.4107,134.0000,1.0000,0.6094
